customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,0,0,1,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,29.85,29.85,0
5575-GNVDE,1,0,0,0,34,1,0,DSL,1,0,1,0,0,0,One year,0,Mailed check,56.95,1889.5,0
3668-QPYBK,1,0,0,0,2,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Mailed check,53.85,108.15,1
7795-CFOCW,1,0,0,0,45,0,0,DSL,1,0,1,1,0,0,One year,0,Bank transfer (automatic),42.3,1840.75,0
9237-HQITU,0,0,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.7,151.65,1
9305-CDSKC,0,0,0,0,8,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.65,820.5,1
1452-KIOVK,1,0,0,1,22,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Credit card (automatic),89.1,1949.4,0
6713-OKOMC,0,0,0,0,10,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,29.75,301.9,0
7892-POOKP,0,0,1,0,28,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.8,3046.05,1
6388-TABGU,1,0,0,1,62,1,0,DSL,1,1,0,0,0,0,One year,0,Bank transfer (automatic),56.15,3487.95,0
9763-GRSKD,1,0,1,1,13,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,49.95,587.45,0
7469-LKBCI,1,0,0,0,16,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),18.95,326.8,0
8091-TTVAX,1,0,1,0,58,1,1,Fiber optic,0,0,1,0,1,1,One year,0,Credit card (automatic),100.35,5681.1,0
0280-XJGEX,1,0,0,0,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1
5129-JLPIS,1,0,0,0,25,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Electronic check,105.5,2686.05,0
3655-SNQYZ,0,0,1,1,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,0,Credit card (automatic),113.25,7895.15,0
8191-XWSZG,0,0,0,0,52,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.65,1022.95,0
9959-WOFKT,1,0,0,1,71,1,1,Fiber optic,1,0,1,0,1,1,Two year,0,Bank transfer (automatic),106.7,7382.25,0
4190-MFLUW,0,0,1,1,10,1,0,DSL,0,0,1,1,0,0,Month-to-month,0,Credit card (automatic),55.2,528.35,1
4183-MYFRB,0,0,0,0,21,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,90.05,1862.9,0
8779-QRDMV,1,1,0,0,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,39.65,39.65,1
1680-VDCWW,1,0,1,0,12,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.8,202.25,0
1066-JKSGK,1,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.15,20.15,1
3638-WEABW,0,0,1,0,58,1,1,DSL,0,1,0,1,0,0,Two year,1,Credit card (automatic),59.9,3505.1,0
6322-HRPFA,1,0,1,1,49,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.6,2970.3,0
6865-JZNKO,0,0,0,0,30,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0
6467-CHFZW,1,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.35,4749.15,1
8665-UTDHZ,1,0,1,1,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,30.2,30.2,1
5248-YGIJN,1,0,1,0,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),90.25,6369.45,0
8773-HHUOZ,0,0,0,1,17,1,0,DSL,0,0,0,0,1,1,Month-to-month,1,Mailed check,64.7,1093.1,1
3841-NFECX,0,1,1,0,71,1,1,Fiber optic,1,1,1,1,0,0,Two year,1,Credit card (automatic),96.35,6766.95,0
4929-XIHVW,1,1,1,0,2,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),95.5,181.65,0
6827-IEAUQ,0,0,1,1,27,1,0,DSL,1,1,1,1,0,0,One year,0,Mailed check,66.15,1874.45,0
7310-EGVHZ,1,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0
3413-BMNZE,1,1,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0
6234-RAAPL,0,0,1,1,72,1,1,Fiber optic,1,1,0,1,1,0,Two year,0,Bank transfer (automatic),99.9,7251.7,0
6047-YHPVI,1,0,0,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,316.9,1
6572-ADKRS,0,0,0,0,46,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Credit card (automatic),74.8,3548.3,0
5380-WJKOV,1,0,0,0,34,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.35,3549.25,1
8168-UQWWF,0,0,0,0,11,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1
8865-TNMNX,1,0,1,1,10,1,0,DSL,0,1,0,0,0,0,One year,0,Mailed check,49.55,475.7,0
9489-DEDVP,0,0,1,1,70,1,1,DSL,1,1,0,0,1,0,Two year,1,Credit card (automatic),69.2,4872.35,0
9867-JCZSP,0,0,1,1,17,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.75,418.25,0
4671-VJLCL,0,0,0,0,63,1,1,DSL,1,1,1,1,1,0,Two year,1,Credit card (automatic),79.85,4861.45,0
4080-IIARD,0,0,1,0,13,1,1,DSL,1,1,0,1,1,0,Month-to-month,1,Electronic check,76.2,981.45,0
3714-NTNFO,0,0,0,0,49,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.5,3906.7,0
5948-UJZLF,1,0,0,0,2,1,0,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,49.25,97,0
7760-OYPDY,0,0,0,0,2,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.65,144.15,1
7639-LIAYI,1,0,0,0,52,1,1,DSL,1,0,0,1,1,1,Two year,1,Credit card (automatic),79.75,4217.8,0
2954-PIBKO,0,0,1,1,69,1,1,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),64.15,4254.1,0
8012-SOUDQ,0,1,0,0,43,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,90.25,3838.75,0
9420-LOJKX,0,0,0,0,15,1,0,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.1,1426.4,1
6575-SUVOI,0,1,1,0,25,1,1,DSL,1,0,0,1,1,0,Month-to-month,1,Credit card (automatic),69.5,1752.65,0
7495-OOKFY,0,1,1,0,8,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),80.65,633.3,1
4667-QONEA,0,1,1,1,60,1,0,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),74.85,4456.35,0
1658-BYGOY,1,1,0,0,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,1752.55,1
8769-KKTPH,0,0,1,1,63,1,1,Fiber optic,1,0,0,0,1,1,One year,1,Credit card (automatic),99.65,6311.2,0
5067-XJQFU,1,1,1,1,66,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Electronic check,108.45,7076.35,0
3957-SQXML,0,0,1,1,34,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),24.95,894.3,0
5954-BDFSG,0,0,0,0,72,1,1,Fiber optic,0,0,1,1,1,1,Two year,1,Credit card (automatic),107.5,7853.7,0
0434-CSFON,0,0,1,0,47,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.5,4707.1,0
1215-FIGMP,1,0,0,0,60,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0
0526-SXDJP,1,0,1,0,72,0,0,DSL,1,1,1,0,0,0,Two year,0,Bank transfer (automatic),42.1,2962,0
0557-ASKVU,0,0,1,1,18,1,0,DSL,0,0,1,1,0,0,One year,1,Credit card (automatic),54.4,957.1,0
5698-BQJOH,0,0,0,0,9,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,94.4,857.25,1
5122-CYFXA,0,0,0,0,3,1,0,DSL,0,1,0,1,1,1,Month-to-month,1,Electronic check,75.3,244.1,0
8627-ZYGSZ,1,0,1,0,47,1,1,Fiber optic,0,1,0,0,0,0,One year,1,Electronic check,78.9,3650.35,0
3410-YOQBQ,0,0,0,0,31,1,0,DSL,0,1,1,1,1,1,Two year,0,Mailed check,79.2,2497.2,0
3170-NMYVV,0,0,1,1,50,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.15,930.9,0
7410-OIEDU,1,0,0,0,10,1,0,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Mailed check,79.85,887.35,0
2273-QCKXA,1,0,0,0,1,1,0,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,49.05,49.05,0
0731-EBJQB,0,0,1,1,52,1,0,No,0,0,0,0,0,0,One year,1,Electronic check,20.4,1090.65,0
1891-QRQSA,1,1,1,1,64,1,1,Fiber optic,1,0,1,1,1,1,Two year,1,Bank transfer (automatic),111.6,7099,0
8028-PNXHQ,1,0,1,1,62,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),24.25,1424.6,0
5630-AHZIL,0,0,0,1,3,1,0,DSL,1,0,0,1,0,1,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0
2673-CXQEU,0,1,0,0,56,1,1,Fiber optic,1,1,1,0,1,1,One year,0,Electronic check,110.5,6139.5,0
6416-JNVRK,0,0,0,0,46,1,0,DSL,0,0,0,0,0,1,One year,0,Credit card (automatic),55.65,2688.85,0
5590-ZSKRV,0,0,1,1,8,1,0,DSL,1,1,0,0,0,0,Month-to-month,0,Mailed check,54.65,482.25,0
0191-ZHSKZ,1,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,0
3887-PBQAO,0,0,1,1,45,1,1,No,0,0,0,0,0,0,One year,1,Credit card (automatic),25.9,1216.6,0
5919-TMRGD,0,0,0,1,1,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,79.35,79.35,1
8108-UXRQN,0,0,1,1,11,0,0,DSL,1,0,0,0,1,1,Month-to-month,0,Electronic check,50.55,565.35,0
9191-MYQKX,0,0,1,0,7,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1
9919-YLNNG,0,0,0,0,42,1,0,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0
0318-ZOPWS,0,0,1,0,49,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),20.15,973.35,0
4445-ZJNMU,1,0,0,0,9,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.3,918.75,0
4808-YNLEU,0,0,1,0,35,1,0,DSL,1,0,0,0,1,0,One year,1,Bank transfer (automatic),62.15,2215.45,0
1862-QRWPE,0,0,1,1,48,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.65,1057,0
2796-NNUFI,0,0,1,1,46,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.95,927.1,0
3016-KSVCP,1,0,1,0,29,0,0,DSL,0,0,0,0,1,0,Month-to-month,0,Mailed check,33.75,1009.25,0
4767-HZZHQ,1,0,1,1,30,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0
2424-WVHPL,1,1,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,0,Electronic check,74.7,74.7,0
7233-PAHHL,1,0,1,1,66,1,1,DSL,1,0,1,1,1,1,Two year,1,Mailed check,84,5714.25,0
6067-NGCEU,0,0,0,0,65,1,1,Fiber optic,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),111.05,7107,0
9848-JQJTX,1,0,0,0,72,1,1,Fiber optic,0,1,1,0,1,1,Two year,1,Bank transfer (automatic),100.9,7459.05,0
8637-XJIVR,0,0,0,0,12,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,78.95,927.35,1
9803-FTJCG,1,0,1,1,71,1,1,DSL,1,1,0,1,0,0,One year,1,Credit card (automatic),66.85,4748.7,0
0278-YXOOG,1,0,0,0,5,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,21.05,113.85,1
3212-KXOCR,1,0,0,0,52,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),21,1107.2,0
4598-XLKNJ,0,1,1,0,25,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.5,2514.5,1
6380-ARCEH,1,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.2,20.2,0
3679-XASPY,0,0,1,1,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.45,19.45,0
7123-WQUHX,1,0,0,0,38,1,1,Fiber optic,0,0,1,1,1,0,One year,0,Bank transfer (automatic),95,3605.6,0
5386-THSLQ,0,1,1,0,66,0,0,DSL,0,1,1,0,1,0,One year,0,Bank transfer (automatic),45.55,3027.25,0
3192-NQECA,1,0,1,0,68,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),110,7611.85,1
6180-YBIQI,1,0,0,0,5,0,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,24.3,100.2,0
6728-DKUCO,0,0,1,1,72,1,1,Fiber optic,1,1,0,0,1,1,One year,1,Electronic check,104.15,7303.05,0
9750-BOOHV,0,0,0,0,32,0,0,DSL,1,0,0,0,0,0,One year,0,Mailed check,30.15,927.65,0
8597-CWYHH,1,0,0,0,43,1,1,Fiber optic,0,0,0,0,1,1,One year,0,Mailed check,94.35,3921.3,0
2848-YXSMW,1,0,1,1,72,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.4,1363.25,0
0486-HECZI,1,0,1,0,55,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,96.75,5238.9,1
4549-ZDQYY,0,0,0,0,52,1,0,DSL,1,0,1,1,0,0,One year,0,Credit card (automatic),57.95,3042.25,0
5712-AHQNN,0,0,0,0,43,1,0,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Electronic check,91.65,3954.1,0
4846-WHAFZ,0,1,1,0,37,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,76.5,2868.15,1
5256-SKJGO,0,0,1,1,64,0,0,DSL,0,1,0,1,1,1,Two year,1,Electronic check,54.6,3423.5,0
3071-VBYPO,1,0,1,1,3,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,89.85,248.4,0
9560-BBZXK,0,0,0,0,36,0,0,DSL,1,0,0,0,0,0,Two year,0,Bank transfer (automatic),31.05,1126.35,0
5299-RULOA,0,0,1,1,10,1,1,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Electronic check,100.25,1064.65,1
8402-OOOHJ,0,0,0,0,41,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.65,835.15,0
9445-ZUEQE,1,0,1,1,27,1,1,Fiber optic,0,1,0,1,0,0,Month-to-month,1,Credit card (automatic),85.2,2151.6,0
1091-SOZGA,0,0,1,1,56,1,1,Fiber optic,0,0,1,0,1,1,One year,1,Credit card (automatic),99.8,5515.45,0
2928-HLDBA,0,0,0,0,6,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.7,112.75,0
0404-SWRVG,1,0,0,0,3,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.4,229.55,1
6497-TILVL,0,0,1,1,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,50.7,350.35,0
7219-TLZHO,0,0,1,1,4,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.85,62.9,0
4622-YNKIJ,1,0,0,0,33,1,0,Fiber optic,1,0,0,1,1,0,Two year,1,Electronic check,88.95,3027.65,0
4412-YLTKF,0,1,0,0,27,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,78.05,2135.5,1
6734-PSBAW,1,0,1,0,72,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),23.55,1723.95,0
3930-ZGWVE,1,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.75,19.75,0
2639-UGMAZ,1,1,0,0,71,0,0,DSL,1,1,0,0,1,1,One year,1,Electronic check,56.45,3985.35,0
2876-GZYZC,0,0,0,0,13,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.95,1215.65,0
6207-WIOLX,0,0,1,1,25,0,0,DSL,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),58.6,1502.65,1
8587-XYZSF,1,0,0,0,67,1,0,DSL,0,0,0,1,0,0,Two year,0,Bank transfer (automatic),50.55,3260.1,0
3091-FYHKI,1,0,0,0,1,0,0,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,35.45,35.45,1
2372-HWUHI,1,0,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,44.35,81.25,1
7799-LGRDP,0,0,0,0,43,1,1,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),25.7,1188.2,0
7850-VWJUU,0,0,0,0,23,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75,1778.5,0
3774-VBNXY,0,0,1,1,64,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.2,1277.75,0
6217-KDYWC,1,0,0,1,57,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.6,1170.55,0
0390-DCFDQ,0,1,1,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,70.45,70.45,1
3146-MSEGF,0,1,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),88.05,6425.65,0
4080-OGPJL,0,0,0,0,8,1,1,DSL,1,0,0,1,0,1,Month-to-month,0,Electronic check,71.15,563.65,1
1095-WGNGG,0,0,1,0,61,1,1,Fiber optic,0,1,0,0,1,1,Two year,1,Bank transfer (automatic),101.05,5971.25,0
2636-SJDOU,1,0,0,0,64,1,1,Fiber optic,1,1,0,0,0,0,One year,1,Credit card (automatic),84.3,5289.05,0
1131-QQZEB,1,1,1,0,71,1,1,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),23.95,1756.2,0
5716-EZXZN,0,0,1,1,65,1,1,Fiber optic,1,1,0,1,1,0,Two year,1,Credit card (automatic),99.05,6416.7,0
6837-BJYDQ,1,0,0,0,3,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,19.6,61.35,0
2135-RXIHG,1,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.65,45.65,1
6440-DKQGE,1,0,0,1,30,1,0,DSL,0,1,1,0,1,0,One year,0,Credit card (automatic),64.5,1929.95,0
3466-BYAVD,1,0,1,1,15,1,0,DSL,0,1,1,1,0,1,Month-to-month,1,Mailed check,69.5,1071.4,0
3780-YVMFA,0,0,1,1,8,1,0,DSL,0,0,0,1,1,1,Month-to-month,1,Electronic check,68.55,564.35,0
3874-EQOEP,1,0,0,0,7,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Mailed check,95,655.5,1
1679-JRFBR,0,0,1,1,70,1,1,Fiber optic,1,1,1,0,1,1,One year,1,Credit card (automatic),108.15,7930.55,0
9073-ZZIAY,1,0,1,1,62,1,0,DSL,1,1,1,1,1,1,Two year,0,Electronic check,86.1,5215.25,0
3077-RSNTJ,0,0,1,1,6,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.7,113.5,0
6551-GNYDG,0,0,1,1,14,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Bank transfer (automatic),80.9,1152.8,0
9167-APMXZ,0,0,0,0,22,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),84.15,1821.95,0
2749-CTKAJ,1,0,1,1,22,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.15,419.9,0
6371-NZYEG,1,0,1,1,16,1,0,DSL,1,0,1,0,1,0,Two year,0,Mailed check,64.25,1024,0
7554-NEWDD,1,0,0,0,10,1,1,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),25.7,251.6,0
8992-VONJD,0,0,0,1,13,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Electronic check,56,764.55,0
0867-MKZVY,0,0,1,0,20,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,82.4,1592.35,1
4482-EWFMI,0,0,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,135.2,0
4648-YPBTM,1,0,0,0,53,1,1,DSL,0,1,1,1,0,1,Two year,1,Bank transfer (automatic),73.9,3958.25,0
2907-ILJBN,0,0,1,1,11,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.6,233.9,0
6345-FZOQH,1,0,1,0,69,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,19.9,1363.45,0
3376-BMGFE,0,0,0,0,4,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),70.9,273,1
5997-OPVFA,1,0,1,0,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),89.05,6254.45,0
3445-HXXGF,1,1,1,0,58,0,0,DSL,0,1,1,0,0,1,Month-to-month,1,Electronic check,45.3,2651.2,1
1159-WFSGR,0,0,1,1,16,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,20.4,321.4,0
7654-YWJUF,1,0,1,0,43,1,0,Fiber optic,1,0,1,1,0,0,One year,1,Bank transfer (automatic),84.25,3539.25,0
1875-QIVME,0,0,1,0,2,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.4,242.8,1
6727-IOTLZ,1,0,1,0,14,1,0,DSL,0,1,1,1,1,1,Two year,0,Mailed check,81.95,1181.75,0
0691-JVSYA,0,0,1,0,53,1,0,Fiber optic,0,0,1,0,1,1,One year,1,Bank transfer (automatic),94.85,5000.2,1
5918-VUKWP,0,0,0,0,32,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),20.55,654.55,0
1744-JHKYS,0,0,1,0,34,1,1,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,24.7,780.2,0
2656-FMOKZ,0,1,0,0,15,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,74.45,1145.7,1
2070-FNEXE,0,1,0,0,7,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),76.45,503.6,1
5947-SGKCL,0,0,1,1,15,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),105.35,1559.25,0
3712-PKXZA,1,0,1,0,61,1,0,No,0,0,0,0,0,0,One year,1,Credit card (automatic),20.55,1252,0
6317-YPKDH,0,0,0,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Bank transfer (automatic),29.95,29.95,1
6582-OIVSP,0,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,45.3,45.3,0
9367-WXLCH,1,0,0,0,8,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Bank transfer (automatic),84.5,662.65,1
5524-KHNJP,1,0,1,1,33,1,0,DSL,1,0,1,0,1,1,One year,0,Credit card (automatic),74.75,2453.3,0
1918-ZBFQJ,0,0,0,0,13,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,79.25,1111.65,1
1024-GUALD,0,0,1,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,24.8,24.8,1
4827-USJHP,1,0,0,0,20,1,0,DSL,0,1,0,0,0,0,Month-to-month,1,Mailed check,51.8,1023.85,0
8167-GJLRN,1,0,0,0,3,0,0,DSL,0,0,0,1,0,0,Month-to-month,0,Electronic check,30.4,82.15,0
0956-SYCWG,0,0,0,0,13,1,0,No,0,0,0,0,0,0,One year,0,Electronic check,19.65,244.8,0
8017-UVSZU,0,0,1,0,40,1,1,DSL,0,1,0,0,0,0,Month-to-month,0,Credit card (automatic),56.6,2379.1,0
7100-FQPRV,1,0,1,1,43,1,1,DSL,1,0,0,1,0,1,One year,1,Credit card (automatic),71.9,3173.35,0
2472-OVKUP,1,0,1,0,6,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,91,531,1
2984-RGEYA,0,0,1,1,69,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),19.75,1375.4,0
9680-NIAUV,0,0,1,1,72,1,1,Fiber optic,1,1,1,0,1,1,Two year,0,Credit card (automatic),109.7,8129.3,0
2146-EGVDT,1,0,1,1,59,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.3,1192.7,0
2604-IJPDU,0,0,1,0,20,1,0,Fiber optic,1,1,0,1,1,0,Month-to-month,1,Electronic check,96.55,1901.65,0
9178-JHUVJ,1,0,1,1,24,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),24.1,587.4,0
6168-YBYNP,1,0,0,0,59,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,111.35,6519.75,0
